dataset,nb_trees,file,nb_quads,memory_usage,loading_time
n3,3,data/persondata_en_1M.ttl,999999,1278688,6.986460380999372
tree,6,data/persondata_en_1M.ttl,999999,29996,12.87409087899886
tree,6,data/persondata_en_1M.ttl,999999,30940,12.995324232000858
graphy,1,data/persondata_en_1M.ttl,999999,596504,6.080056014999747
wasm_tree,6,data/persondata_en_1M.ttl,999999,407188,7.365141951998695
tree,1,data/persondata_en_1M.ttl,999999,31604,10.534402692999691
graphy,1,data/persondata_en_1M.ttl,999999,596012,6.015997338000685
graphy,1,data/persondata_en_1M.ttl,999999,596592,5.607576977999881
graphy,1,data/persondata_en_1M.ttl,999999,593432,5.5924455060008915
tree,6,data/persondata_en_1M.ttl,999999,31964,12.709814844001084
tree,1,data/persondata_en_1M.ttl,999999,31156,10.610923837000504
wasm_tree,6,data/persondata_en_1M.ttl,999999,408328,7.653637157000602
wasm_tree,1,data/persondata_en_1M.ttl,999999,411816,5.266229182999581
n3,3,data/persondata_en_1M.ttl,999999,1276368,6.987172802999615
wasm_tree,1,data/persondata_en_1M.ttl,999999,410280,5.221799717999994
graphy,1,data/persondata_en_1M.ttl,999999,598028,5.573946161000058
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.532812768999487
wasm_tree,6,data/persondata_en_1M.ttl,999999,408184,7.496606351999566
n3,3,data/persondata_en_1M.ttl,999999,1286900,6.8993558380007745
wasm_tree,1,data/persondata_en_1M.ttl,999999,409256,5.18076977699995
n3,3,data/persondata_en_1M.ttl,999999,1291096,6.88930227500014
wasm_tree,1,data/persondata_en_1M.ttl,999999,410684,5.421728203000501
tree,1,data/persondata_en_1M.ttl,999999,30208,10.909703674999998
n3,3,data/persondata_en_1M.ttl,999999,1288592,6.936745378000662
graphy,1,data/persondata_en_1M.ttl,999999,598180,5.472495841000229
tree,1,data/persondata_en_1M.ttl,999999,31540,10.763083945000544
tree,1,data/persondata_en_1M.ttl,999999,31348,10.901255777999758
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.532716406999156
n3,3,data/persondata_en_1M.ttl,999999,1288964,6.941193859999999
graphy,1,data/persondata_en_1M.ttl,999999,596192,5.535275474000722
wasm_tree,6,data/persondata_en_1M.ttl,999999,408280,7.408439006000757
tree,6,data/persondata_en_1M.ttl,999999,31192,12.531230574000627
wasm_tree,6,data/persondata_en_1M.ttl,999999,407132,7.708060936000198
tree,6,data/persondata_en_1M.ttl,999999,30868,12.672800203999504
wasm_tree,1,data/persondata_en_1M.ttl,999999,413676,5.369509769998491
